"","Colony","Height","Agerings"
"1",1,51,16
"2",2,46,18
"3",4,37,15
"4",5,12,3
"5",6,48,14
"6",8,46,14
"7",9,40,15
"8",10,40,13
"9",11,30,16
"10",12,29,9
"11",13,32,10
"12",15,41,10
"13",16,25,10
"14",17,23,12
"15",18,28,13
"16",19,30,8
"17",20,31,10
"18",21,9,4
"19",22,21,8
"20",23,30,10
"21",24,21,8
"22",25,27,10
"23",26,32,13
"24",27,27,13
"25",28,34,14
"26",29,33,13
"27",30,37,12
"28",31,40,11
"29",32,35,11
"30",33,37,11
"31",34,21,9
"32",35,32,12
"33",36,36,14
"34",37,20,8
"35",38,23,11
"36",39,23,13
"37",40,35,14
"38",41,32,9
"39",42,25,9
"40",43,6,3
"41",45,31,15
"42",46,25,7
"43",47,25,8
"44",48,11,3
"45",49,10,6
"46",50,42,13
"47",51,15,5
"48",52,45,17
"49",53,12,6
"50",54,45,13
"51",55,23,8
"52",56,24,11
"53",57,34,9
"54",58,37,13
"55",59,11,3
"56",60,17,5
"57",61,12,4
"58",62,27,14
"59",63,17,8
"60",64,6,4
"61",65,18,4
"62",66,23,11
"63",67,11,7
"64",68,15,8
"65",69,32,10
"66",70,21,7
"67",71,11,3
"68",72,7,4
"69",73,9,2
"70",74,10,3
"71",75,7,5
"72",76,7,2
"73",77,5,2
"74",78,4,1
"75",79,7,2
"76",80,5,2
"77",81,4,1
