Run,Component,simul,totalharvest,efficiency,harv.colony,firstharvest,frequency,lastharvest,adultsize,minadultpop,MaxAge,neighbors,settlers,scenarios,Recdata,M,CG,k
main,Model,50,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
main_25,Model,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusAsize,Demog,25,10,0.58,25,50,3,80,24,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusAsize,Demog,25,10,0.58,25,50,3,80,16,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusApop,Fisheries/Demog,25,10,0.58,25,50,3,80,20,9,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusApop,Fisheries/Demog,25,10,0.58,25,50,3,80,20,6,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusMaxAge,Demog,25,10,0.58,25,50,3,80,20,7.5,66,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusMaxAge,Demog,25,10,0.58,25,50,3,80,20,7.5,44,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusFreq,Fisheries,25,10,0.58,25,50,4,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusFreq,Fisheries,25,10,0.58,25,50,2,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusEfficiency,Fisheries,25,10,0.696,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusEfficiency,Fisheries,25,10,0.464,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusHarvestsize,Demog,25,10,0.58,30,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusHarvestsize,Demog,25,10,0.58,20,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusNeighbors,Demog,25,10,0.58,25,50,3,80,20,7.5,55,7,1,nonharvested_harvested,High_Low,2,1.3,0.03
MinusNeighbors,Demog,25,10,0.58,25,50,3,80,20,7.5,55,5,1,nonharvested_harvested,High_Low,2,1.3,0.03
PlusM,Demog,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,3,1.3,0.03
MinusM,Demog,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,4,1.3,0.03
PlusCompGrowth,Fisheries,25,10,0.464,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.56,0.03
MinusCompGrowth,Fisheries,25,10,0.464,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.04,0.03
PlusRM,Demog,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,5,1.3,0.03
MinusRM,Demog,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,6,1.3,0.03
Plusk,Demog,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.04
Minusk,Demog,25,10,0.58,25,50,3,80,20,7.5,55,6,1,nonharvested_harvested,High_Low,2,1.3,0.02
