GR_mm_month,GR_cm_year
-0.00622449,-0.007469388
-0.009242424,-0.011090909
-0.00966057,-0.011592684
-0.018300062,-0.021960074
-0.020469798,-0.024563758
-0.028851351,-0.034621621
-0.04469924,-0.053639088
-0.051849999,-0.062219999
-0.065066665,-0.078079998
-0.06846939,-0.082163268
-0.069413796,-0.083296555
-0.075233333,-0.09028
-0.09353333,-0.112239996
-0.096974358,-0.11636923
-0.110536911,-0.132644293
-0.125049993,-0.150059992
-0.12691237,-0.152294844
-0.12863043,-0.154356516
-0.133952707,-0.160743248
-0.138084576,-0.165701491
-0.140460521,-0.168552625
-0.148629442,-0.17835533
-0.171645015,-0.205974018
-0.178954601,-0.214745521
-0.192959189,-0.231551027
-0.193674743,-0.232409692
-0.195199996,-0.234239995
-0.217566043,-0.261079252
-0.220668808,-0.26480257
-0.225700006,-0.270840007
-0.240680277,-0.288816332
-0.248066664,-0.297679997
-0.288624167,-0.346349
-0.295710087,-0.354852104
-0.305000007,-0.366000008
-0.319005102,-0.382806122
-0.342935324,-0.411522389
-0.353487194,-0.424184633
-0.358914137,-0.430696964
-0.361933202,-0.434319842
-0.374377668,-0.449253202
-0.37554422,-0.450653064
-0.378512621,-0.454215145
-0.429489791,-0.515387749
-0.453433335,-0.544120002
-0.469864875,-0.56383785
-0.480606049,-0.576727259
-0.528120816,-0.633744979
-0.577248335,-0.692698002
-0.60225898,-0.722710776
-0.657721102,-0.789265322
-0.675904512,-0.811085414
-0.754929066,-0.905914879
-0.792208076,-0.950649691
-0.811815917,-0.9741791
-0.840349674,-1.008419609
-0.850680292,-1.02081635
-0.864184618,-1.037021542
-0.867467523,-1.040961028
-0.900953948,-1.081144738
-0.933299541,-1.119959449
-0.975170076,-1.170204091
-1.002361774,-1.202834129
-1.060533047,-1.272639656
-1.111071467,-1.33328576
-1.116769552,-1.340123462
-1.136633277,-1.363959932
-1.14630878,-1.375570536
-1.150866628,-1.381039954
-1.152449608,-1.38293953
-1.171760201,-1.406112241
-1.226140618,-1.471368742
-1.250499964,-1.500599957
-1.255974412,-1.507169294
-1.3501333,-1.62015996
-1.353147388,-1.623776866
-1.360931039,-1.633117247
-1.368432879,-1.642119455
-1.405472994,-1.686567593
-1.43785727,-1.725428724
-1.461268663,-1.753522396
-1.517219424,-1.820663309
-1.609974742,-1.93196969
-1.616811275,-1.94017353
-1.795888186,-2.155065823
-1.83614099,-2.203369188
-1.867346883,-2.24081626
-1.889032245,-2.266838694
-10.05433559,-12.06520271
-10.14023304,-12.16827965
-10.42418766,-12.50902519
-10.80571461,-12.96685753
-10.85308743,-13.02370492
-12.01791,-14.421492
-13.69920349,-16.43904419
-13.88875866,-16.66651039
-14.01771832,-16.82126198
-14.48953342,-17.3874401
-15.39938736,-18.47926483
-19.0625,-22.875
-2.03861475,-2.4463377
-2.055779457,-2.466935348
-2.180033445,-2.616040134
-2.26629138,-2.719549656
-2.293724298,-2.752469158
-2.355497837,-2.826597404
-2.415102005,-2.898122406
-2.423946619,-2.908735943
-2.505025387,-3.006030464
-2.522115469,-3.026538563
-2.564489841,-3.077387809
-2.683476448,-3.220171738
-2.72945857,-3.275350284
-2.820738316,-3.384885979
-2.853819132,-3.424582958
-2.86200428,-3.434405136
-2.977388382,-3.572866058
-2.99510026,-3.594120312
-20.0434761,-24.05217132
-20.96296501,-25.15555801
-25.08469391,-30.10163269
-27.37016869,-32.84420243
-29.08513832,-34.90216598
-3.021990299,-3.626388359
-3.079718113,-3.695661736
-3.142114162,-3.770536994
-3.243733883,-3.89248066
-3.428200006,-4.113840007
-3.560408115,-4.272489738
-3.681349754,-4.417619705
-3.832051277,-4.598461532
-4.022315502,-4.826778602
-4.380908966,-5.257090759
-4.710330963,-5.652397156
-4.7939744,-5.75276928
-4.805810928,-5.766973114
-4.903800488,-5.884560586
-5.042804241,-6.051365089
-5.318827152,-6.382592582
-5.622270584,-6.746724701
-5.788775444,-6.946530533
-7.12425375,-8.5491045
-7.582409859,-9.098891831
-7.826258659,-9.391510391
-7.980577946,-9.576693535
-8.096116066,-9.715339279
-8.172785759,-9.807342911
-8.386725426,-10.06407051
-9.608165741,-11.52979889
-9.672072411,-11.60648689
